SAMPN,PERNO,PLANO,ACTNO,APURP,Act_Cat,LAT,LON,MODE,PNAME,place_type
7000983,3,4,1,ALL OTHER ACTIVITIES AT MY HOME,Personal,35.308278,-119.0051,Auto / Van / Truck Passenger,PRIVATE RESIDENCE,Other
7000983,3,6,1,ALL OTHER ACTIVITIES AT MY HOME,Personal,35.308278,-119.0051,Auto / Van / Truck Passenger,PRIVATE RESIDENCE,Other
7000983,3,8,1,ALL OTHER ACTIVITIES AT MY HOME,Personal,35.308278,-119.0051,Auto / Van / Truck Passenger,PRIVATE RESIDENCE,Other
7000983,4,2,1,ALL OTHER ACTIVITIES AT MY HOME,Personal,35.308278,-119.0051,Auto / Van / Truck Passenger,PRIVATE RESIDENCE,Other
7000983,4,4,1,ALL OTHER ACTIVITIES AT MY HOME,Personal,35.308278,-119.0051,Auto / Van / Truck Passenger,PRIVATE RESIDENCE,Other
7000983,4,6,1,ALL OTHER ACTIVITIES AT MY HOME,Personal,35.308278,-119.0051,Auto / Van / Truck Passenger,PRIVATE RESIDENCE,Other
7000983,4,8,1,ALL OTHER ACTIVITIES AT MY HOME,Personal,35.308278,-119.0051,Auto / Van / Truck Passenger,PRIVATE RESIDENCE,Other
7000983,7,2,1,ALL OTHER ACTIVITIES AT MY HOME,Personal,35.308278,-119.0051,Auto / Van / Truck Driver,PRIVATE RESIDENCE,Other
7000983,7,4,1,ALL OTHER ACTIVITIES AT MY HOME,Personal,35.308278,-119.0051,Auto / Van / Truck Driver,PRIVATE RESIDENCE,Other
7000983,7,6,1,ALL OTHER ACTIVITIES AT MY HOME,Personal,35.308278,-119.0051,Auto / Van / Truck Driver,PRIVATE RESIDENCE,Other
7000983,7,8,1,ALL OTHER ACTIVITIES AT MY HOME,Personal,35.308278,-119.0051,Auto / Van / Truck Driver,PRIVATE RESIDENCE,Other
7007436,2,1,1,ALL OTHER ACTIVITIES AT MY HOME,Personal,32.958122,-115.553879,,PIONEERS MEMORIAL HEALTHCARE,Other
7014665,1,1,1,ALL OTHER ACTIVITIES AT MY HOME,Personal,38.4400515,-123.1219432,,GOAT ROCK CABIN,Other
7014665,1,4,1,ALL OTHER ACTIVITIES AT MY HOME,Personal,38.4400515,-123.1219432,Auto / Van / Truck Driver,GOAT ROCK CABIN,Other
7014665,2,1,1,ALL OTHER ACTIVITIES AT MY HOME,Personal,38.4400515,-123.1219432,,GOAT ROCK CABIN,Other
7014665,2,3,1,ALL OTHER ACTIVITIES AT MY HOME,Personal,38.4400515,-123.1219432,Walk,GOAT ROCK CABIN,Other
7014665,2,6,1,ALL OTHER ACTIVITIES AT MY HOME,Personal,38.4400515,-123.1219432,Auto / Van / Truck Passenger,GOAT ROCK CABIN,Other
7019802,1,8,2,ALL OTHER ACTIVITIES AT MY HOME,Personal,37.60014,-122.386815,"BART, Metro Red / Purple Line",CALTRAIN,Other
7035608,1,7,1,ALL OTHER ACTIVITIES AT MY HOME,Personal,34.067423,-118.352376,Auto / Van / Truck Driver,PARK LA BREA APARTMENTS,Other
7105286,3,5,3,ALL OTHER ACTIVITIES AT MY HOME,Personal,34.155884,-118.091983,Auto / Van / Truck Passenger,PRIVATE RESIDENCE,Other
